"Iqtidaa-ul-'Ilm al-'Amal
Knowledge Mandates Action",______: ______ _____ _____
"""From Abud-Dardaa to Salmaan: O my brother, take advantage of your health and your free time before some affliction befalls you which none of the people will be able to remove from you.""","“____ _____ ____________ _____ _________: ___ _____ _________ _________ ___________ ____ ______ ____ ________ ____ ____ __________ ___ ___ ___________ ______ ____ ________ _______ ______"""
"[177] Al-Husayn bin 'Umar bin Burhaan Al-Ghazaal informed us: AbulHusayn 'Abdul-Baaqee bin Qaani bin Marzooq, the Judge, narrated to us, through dictation: Bishr bin Moosaa narrated to us: 'Abdullaah bin Saalih narrated to us, saying: Yahyaa bin Hameed narrated to us, saying: AlAwzaa'ee wrote to one of his brothers:","177- ___________ ___________ ____ ______ ____ _________ ____________ ___ _____ ___________ ______ _________ ____ _______ ____ _________ __________ _________ ___ ______ ____ _______ ___ ______ _______ ____ ________ _____: ___ _______ ____ _________ _____:"
"""To proceed: You are surrounded from all sides (by the Devil) and he is constantly whispering to you every day. So be fearful of Allaah and of standing in front of Him.""","“______ ________________ _____ ____ ____: «______ _______ ______ _______ ____ ____ _____ ________ ______ ___ _______ ____ ___ _____ _______ _________ _______ ____________ ______ ________»"
"[178] Muhammad bin Ahmad bin Rizq informed us, saying: Ja'far bin Muhammad bin Nusayr Al-Khaldee reported to us: Muhammad bin 'Abdillaah Al-Hadramee narrated to us: 'Abdullaah bin Khubaiq narrated to us: Ishaaq bin 'Abdil-'Azeez narrated to us that 'Ataa bin Muslim said: I was with Sufyaan Ath-Thawree in Al-Masjid Al- Haraam, when he said:","178- ___________ _________ ____ ________ ____ _______ _____: _____ ________ ____ _________ ____ ________ _____________ ___ _________ ____ ______ _______ _______________ ___ ______ _______ ____ _________ ___ _________ ____ ______ ___________ ____ _______ ____ _________ _____:"
"""O 'Ataa, we are sitting while the day is busy doing its affairs."" I said: ""I am in a good state, if Allaah wills."" He said: ""Yes, but it is about hastening to take advantage (of one's time).""","«______ ____ _________ _____________ ___ ________ __________ ______» [_:105] ___ ________ ______ _______ ____________ ________ _________ _____: ______: _____ ___ ______ ____ _____ ________ _____: _______ ____________ ____________ _____:"
"Then he told me: ""0 'Ataa, verily when the believer is in his final place of standing, he will see with his eyes what Allaah has prepared for him in Paradise, but yet (in spite of this), he will wish that he was never created due to the state of fright he will be in.""","_____ _____ ___: ___ _______ _____ ___________ ___ ___________ _______ __________ ___ _______ _______ ____ ___ __________ ______ __________ _______ ____ ________ ____ ______ ___ ____ _____"""
"[179] Abu 'Abdillaah Al-Husayn bin Al-Hasan bin Muhammad bin AlQaasim Al- Makhzoomee informed us, saying: Muhammad bin 'Amr ArRazaaz reported to us: Hanbal bin Ishaaq, the cousin of Ahmad bin Hanbal, narrated to us: Abul-Waleed Khalf bin Al-Waleed narrated to us, saying: The cousin of Abu Bakr An-Nahshalee narrated to me, saying:","179 - ___________ _____ ______ _______ ___________ ____ _________ ____ _________ ____ __________ ________________ _____: _____ _________ ____ _______ ____________ __ ________ ____ _________ ____ _____ ________ ____ _________ ___ _____ __________ ______ ____ ___________ _____: __________ _____ ______ _______ ______ _______________ _____:"
"Ibn AsSamaak entered into the presence of Abu Bakr An- Nahshalee while he was in the marketplace praying with head motions, so he (Ibn As- Samaak) said: ' SubhanAllaah over such a state of being!' So he (i.e. Abu Bakr) said:
""O Ibn As-Samaak, I am taking advantage of (my time before) the closing of my book (of deeds).""","“______ _____ ___________ _____ _____ ______ _______________ ______ ___ _________ ______ _______ ___________ ________ _______: _________ _______ _____ _____ _________ _______: ___ _____ ___________ _________ _____ ____________"""
"[180] Abul-Qaasim 'Ubaydullaah bin Muhammad bin 'Ubaydillaah AnNajaar informed us, saying: Muhammad bin 'Ubaydillaah bin Al-Fadl AI-Kayaal narrated to us: Muhammad bin Al-Haytham Al-Muqree narrated to us, saying: Abu Sa'eed Al- Jasaas said: Ibn 'Abdil-Mu'min narrated to us in Egypt: 'Abdaan bin 'Uthmaan narrated to us, saying: I heard Ibn Al-Mubaarak say:","180 - ___________ _____ __________ ________ _______ ____ _________ ____ ________ _______ ___________ _____: _____ _________ ____ ________ _______ ____ _________ ____________ ___ _________ ____ ___________ ____________ _____: _____ _____ _______ ___________: ___ _____ ______ ____________ _________ ___ _________ ____ __________ _____: ________ _____ _____________ _______: «"
"""Take advantage of performing two prayer units (rak'ah) to draw closer to Allaah when you are in a relaxed state and not preoccupied. And when you feel like uttering words of falsehood, replace that instead with tasbeeh (i.e. saying SubhaanAllaah).""","[_____ ______]
_________ ____________ _______ _____ ______ ... ___ _____ ______ ______ ____________
_______ ___ ________ ___________ ___ ______ ... ____ _________ _________ __________»"
"[181] Abu Sa'eed Mas'ood bin Naasir As-Sijzee recited to me, saying: Abu Ahmad Mansoor bin Muhammad bin 'Abdillaah Al-Azdee recited the following poem from himself to us in Herat:","181 - ___________ _____ _______ _________ ____ _______ _____________ _____: ___________ _____ ________ _________ ____ _________ ____ ______ _______ ____________ _________ __________: «"
"""Do not look down upon a helping hour
In which you can extend your hand towards obedience
For the living person is subject to death and hopes are a deception
And the matter is always (changing) from one hour to another hour.""","[_____ _______]
___ __________ _______ ___________ ... _______ ______ _____ _____ _______
__________ __________ __________ ______ ... ___________ ____ _______ _____ _______»"
"[182] Abul-Husayn 'Alee bin Muhammad bin 'Abdillaah Al-Mu'adal informed us, saying: Al-Husayn bin Safwaan reported to us: 'Abdullah bin Muhammad bin Abee Ad-Dunyaa narrated to us, saying: Abu 'Abdillaah Ahmad bin Ayoob recited to me:","182 - ___________ _____ ___________ _______ ____ _________ ____ ______ _______ _____________ _____: ________ ___________ ____ __________ ___ ______ _______ ____ _________ ____ _____ ___________ _____: ___________ _____ ______ _______ ________ ____ ________: «"
"""Take advantage of your free time by exceeding in prayer
For perhaps your death will befall you all of a sudden
How many a healthy person have you seen not having any illness
Yet his healthy soul has departed (in death) unexpectedly.""","[_____ ______]
_________ ___ __________ ______ _______ ... _______ ____ _______ ________ ________
____ _______ ________ ____ ______ ______ ... ________ ________ ____________ ________»"
[183] Abul-Waleed Sulaymaan bin Khalf bin Sa'ad Al-Andalusee recited to me the following poetic verses from himself:,183 - ___________ _____ __________ ___________ ____ ______ ____ ______ ________________ __________:
"""If I knew with certain knowledge
That my whole life was like an hour
Then why wouldn't I be stingy with it
And devote all of it to righteousness and obedience.""","[_____ ______]
_____ ______ ________ _______ ________ ... _______ _______ ________ _________
______ ___ _______ ________ ______ ... _____________ ___ _______ _________"
"[184] 'Alee bin Ahmad Ar-Razaaz narrated to us, saying: I heard Ja'far (bin Nusayr) Al-Khaldee say: I heard Al-Junayd say: I heard As-Sarree As-Saqatee say:
""Every day that has passed by, you will not find anymore
So if you are upon one (now, i.e. another day), then treat it greatly.""","184 - ________ _______ ____ ________ ____________ _____: ________ _________ _____________ _______: ________ ____________ _______: ________ __________ _____________ _______: «_____ ______ ____ _____ ___ ________ ... _______ ______ ____ _____________»"
"[185] I read in a copy of a book that was mentioned to us by Abu Sa'eed Muhammad bin Moosaa As-Sayrafee that he heard from Abul-'Abbaas Muhammad bin Ya'qoob Al-Asam, and he mentioned it: Then Al-'Ateeqee informed me, saying: 'Uthmaan bin Muhammad Al-Makhramee reported to us, saying: Al-Asam informed that Al- 'Abbaas bin Muhammad AdDawree narrated to them: 'Alee bin Al-Husayn bin Shaqeeq narrated to us, saying: 'Abdullaah bin Al-Mubaarak reported to us that Sa'eed bin Saalim said:","185 - ________ ___ ________ __________ _______ ______ _____ _____ _______ _________ ____ ______ _______________ _______ ________ ____ _____ ___________ _________ ____ _________ __________ ________ ________ ____ _____ ___________ _____________ __________ _____: ____ _________ ____ _________ _______________ _____: ___________ ___________ _____ ___________ ____ _________ ___________ ____________ ___ _______ ____ _________ ____ ________ _____: ________ ______ _______ ____ _____________ ____ _______ ____ ________ ________ ____________ _____:"
"""Rawh bin Zinbaa' came upon a home between Makkah and Madeenah on a summer day and brought his food home with him. At that point a shepherd was descending from a hill, so he said to him: 'O shepherd, come here to eat.' The man replied: 'I'm fasting.' Rawh said: 'Are you fasting in this intense heat?' So the shepherd said: 'Should I then let (all) my days go in vain?' So Rawh recited the the following poetic verses:","“______ ______ ____ __________ _________ ______ _______ ______________ ___ ______ ________ _________ _________ __________ _____ ____ ______ _______: ___ ______ _______ _____ ___________ _____: ______ ________ _____ ______ ____ _______ ___ _____ ________ ___________ _____: _______ _________: __________ ________ ________ _________ __________ ______ _______:"
"You have been stingy with your days, O shepherd
Whereas Rawh bin Zinbaa' is generous with his. ’""","[_____ _____]
[_:108]
______ ________ ____________ ___ _____ ... ____ _____ _____ ______ ____ _________"
"[186] Al-Hasan bin Abee Bakr informed us, saying: Abu Ja'far 'Abdullaah bin Ismaa'eel bin Ibraaheem Al-Haashimee reported to us: 'Abdullaah bin Muhammad bin 'Ubayd Al-Qurshee narrated to us, saying: One of the people of knowledge narrated to me, saying:","186 - ___________ _________ ____ _____ _______ _____: _____ _____ ________ ______ _______ ____ ____________ ____ ____________ ______________ ___ ______ _______ ____ _________ ____ ________ _____________ _____: __________ _______ ______ __________ _____:"
"""A group of people invited a man to come eat with them on a scorching hot day with intense heat, but he said: 'I'm fasting.' So they said: '(You are fasting) on a day like this?!' He said: 'Should I then take all of my days for granted?'""","“_____ ______ _______ _____ _______ ___ ______ _______ _______ ________ _______: ______ ________ _________: ___ ______ _____ __________ _____: ____________ ________ ______"""
"[187] 'Alee bin Muhammad bin Al-Mu'adal informed us, saying: Al-Husayn bin Safwaan informed us: Abu Bakr bin Abee Ad-Dunyaa narrated to us, saying: One of the scholars narrated to me, saying:","187 - ___________ _______ ____ _________ _____________ _____: ________ ___________ ____ __________ ___ _____ ______ ____ _____ ___________ _____: __________ _______ ______ _________:"
"""Some people once invited a man to eat food with them, so he said to them: 'I'm fasting.' They said: 'Break it and fast tomorrow.' So he replied: 'And who can guarantee me tomorrow?'""","“_____ ______ _______ _____ ________ _______: ______ ________ _________: ________ _________ ______ ______ _____ ______ ___ _______"""
"[188] Abul-Fat'h Muhammad bin Ahmad bin Abil-Fawaaris, the Haafidh, informed us: 'Alee bin 'Abdillaah bin Al-Mugheerah narrated to us: Ahmad bin Sa'eed Ad- Dimashqee narrated to us, saying: 'Abdullaah bin Al-Mu'taz said:","188 - ___________ _____ _________ _________ ____ ________ ____ _____ ____________ ___________ ___ _______ ____ ______ _______ ____ _____________ ___ ________ ____ _______ _______________ _____: _____ ______ _______ ____ ____________:"
"""Seize the available opportunity, and do not anticipate tomorrow. For who can guarantee that tomorrow will occur?""","«_________ ___________ ______________ _____ __________ _____ ______ ______ ____ _______ _________»"
