"In the name of God, merciful and compassionate","بسم الله الرحمن الرحيم
"
"Moreover, God permitted us to shed the blood of pagan combatants with whom there is no treaty and to take their property. He did not prohibit us from doing that in any respect of which I am aware.
","وأباح لنا دماءَ أهل الكفر المقاتِلين غيرِ المعاهَدين، وأموالهَم، ولم يحَظُرْ علينا منها شيئاً أذكرُهُ،"
"So if we injure them, short of taking their lives, or seize their property, short of taking it all, those actions are even more permissible.
","فكان ما نِلْنا من أبدانهم دون الدماء، ومن أموالهم دون كلِّها: أولى أن يكون مباحاً.
"
"Some scholars refuse to call this analogizing and say that it is simply the meaning of what God made lawful and unlawful and praised and censured, since that meaning is included within what God made lawful and unlawful generally; it is the thing itself, not an analogy based something else.","وقد يمتنع بعض أهل العلم من أن يسمي [ص:516] هذا "" قياساً "" ويقول: هذا معنى ما أحل الله، وحرم، وحمِد، وذمّ، لأنه داخل في جملته، فهو بعينه، ولا قياسٌ على غيره.
"
"They hold the same opinion concerning other matters, too, in regard to things that are covered by the rationale of either what is licit, and therefore declared licit, or what is illicit, and therefore declared illicit.","ويقول مثل هذا القول في غير هذا، مما كان في معنى الحلال فأُحل، والحرام فحُرم.
"
"In fact, they refuse to call anything an analogy unless it involves something that can be compared with something else that could resemble it for one of two different reasons. In that case, one would analogize on the basis of one of those reasons rather than the other.","ويمتنع أن يُسمَّى"" القياس "" إلا ما كان يحتمل أن يُشَبَّه بما احتمل أن يكون فيه شَبَهاً من معنيين مختلفين، فَصَرَفَه على أن يقيسه على أحدهما دون الآخر.
"
"Others say that whatever lies outside the express terms of an explicit passage from the Book or from an account of Prophetic Practice, and yet is covered by the same rationale, is an analogy, though God knows best.","ويقول غيرهم من أهل العلم: ما عدا النصَّ من الكتاب أو السنة، فكان في معناه فهو قياس، والله اعلم.
"
". . .
If someone were to say: “Mention some types of analogy that show how they can vary in clarity, in their underlying reasons, and in their provision of binding authority, apart from this first type, knowledge of which can be attained by most persons,” one should reply, God willing, God said: «Mothers are to suckle their children for two whole years for those who desire to complete the suckling. It is the duty of the father to provide for them and clothe them in the proper manner» and «If you desire to seek suckling for your children by a wet-nurse, it is no sin for you if you hand over what you have given in the way recognized as proper.»","فإن قال قائل: فاذكر من وجوه القياس ما يدل على اختلافه في البيان والأسبابِ، والحجة فيه سوى هذا الأولِ، الذي تدرِك العامة علمه؟
قيل له إن شاء الله: قال الله: {والوالداتُ يُرْضِعْنَ أولادَهُنَّ حَولين كاملين لمن أرادَ أن يتمَّ الرَّضاعةَ وعلى المولودِ له رزقُهنَّ وكِسوتهُنَّ بالمعروف} [البقرة 233]
وقال: {وإن أردتم أن تَسترضعوا أولادَكم، فلا جُناحَ عليكم إذا سَلَّمتم ما آتيتم بالمعروف} [البقرة 233]
"
God’s Emissary commanded Hind bint ʿUtbah to take as much money from her husband Abū Sufyān as she and her children needed—and they were his children—in the proper manner and without consulting him.,"فأمر رسول الله هندَ بنت عتبة أن تأخذ من مال زوجها أبي سفيان ما يكفيها وولدَها - وهم ولده - بالمعروف بغير أمره.
"
The Book of God and the Practice of His Prophet indicated that the father is financially responsible for his children while they are nursing and also for their expenses while they are young.,"قال: فدلَّ كتاب الله وسنة نبيه أن على الوالد رَضاعَ ولده، ونفقتَهم صغاراً. [ص:518]
"
"The child is from the father, so the father may be compelled to support the child when the child is not able to fend for himself.","فكان الولد من الوالد فجُبر على صلاحه في الحال التي لا يُغني الولد فيها نفسه،"
