The History of al-Tabari,تاريخ الطبري
"Thus, he put Abu ‘Ubayd in command and gave him instructions for his army.","فَأَمَّرَ أَبَا عُبَيْدٍ، وَأَوْصَاهُ بِجُنْدِهِ."
Al-Sari b. Yahya—Shu‘ayb b. Ibrahim—Sayf b. TJmar—Sahl— al-Qasim; and al-Mubashshir—Salim:,"كَتَبَ إِلَيَّ السَّرِيُّ بْنُ يَحْيَى، عَنْ شُعَيْبِ بْنِ إِبْرَاهِيمَ، عَنْ سَيْفِ بْنِ عُمَرَ، عَنْ سَهْلٍ، عَنِ الْقَاسِمِ وَمُبَشِّرٍ، عَنْ سَالِمٍ، قَالَ:"
The first expedition sent out by ‘Umar was the expedition of Abu ‘Ubayd.,"كَانَ أَوَّلُ بَعْثٍ بَعَثَهُ عُمَرُ بَعْثَ أَبِي عُبَيْدٍ،"
"Then he sent out YaTa b. Umayyah to Yemen, commanding him to evacuate the people of Najran, according to the instructions of the Prophet in his [last] illness regarding that, and according to the instructions of Abu Bakr regarding that in his [last] illness.","ثُمَّ بَعْثَ يَعْلَى بْنِ أُمَيَّةَ إِلَى الْيَمَنِ وَأَمَرَهُ بِإِجْلاءِ اهل نجران، لوصيه رسول الله ص فِي مَرَضِهِ بِذَلِكَ، وَلِوَصِيَّةِ أَبِي بَكْرٍ رَحِمَهُ اللَّهُ بِذَلِكَ فِي مَرَضِهِ،"
"He said: Come to them, do not tempt them away from their religion, then remove those among them who keep to their religion.","وَقَالَ: ائْتِهِمْ وَلا تَفْتِنْهُمْ عَنْ دِينِهِمْ، ثُمَّ أَجْلِهِمْ، مَنْ أَقَامَ مِنْهُمْ عَلَى دِينِهِ،"
"But confirm the Muslims [in their residence]. Survey the land of each of them whom you remove, then offer them a choice of countries [to which to emigrate], informing themthat we are removing them according to the injunction of God and His Messenger, ""Two religions ought not to be left in the Arabian peninsula.""  ","وَأَقْرِرِ الْمُسْلِمَ، وَامْسَحْ أَرْضَ كُلِّ مَنْ تُجْلِي مِنْهُمْ، ثُمَّ خَيِّرْهُمُ الْبُلْدَانَ، وَأَعْلِمْهُمْ أَنَّا نُجْلِيهِمْ بِأَمْرِ اللَّهِ وَرَسُولِهِ، أَلا يُتْرَكَ بِجَزِيرَةِ الْعَرَبِ دِينَانِ،"
"Therefore let them depart, whoever among them keeps to his religion.","فَلْيُخْرِجُوا، مَنْ أَقَامَ عَلَى دِينِهِ مِنْهُمْ،"
"Then give them land equivalent to their land, in recognition of their right against ourselves and in fulfillment of (ourj guarantee of security to them, according to what God has commanded re-garding that, in exchange between them and their Yemeni and other neighbors for that which has gone to their neigh-bors in the countryside.","ثُمَّ نُعْطِيهِمْ أَرْضًا كَأَرْضِهِمْ، إِقْرَارًا لَهُمْ بِالْحَقِّ عَلَى أَنْفُسِنَا، وَوَفَاءً بِذِمَّتِهِمْ فِيمَا أَمَرَ اللَّهُ مِنْ ذَلِكَ، بَدَلا بَيْنَهُمْ وَبَيْنَ جِيرَانِهِمْ مِنْ أَهْلِ الْيَمَنِ وَغَيْرِهِمْ فِيمَا صَارَ لِجِيرَانِهِمْ بِالرِّيفِ"
Al-Namariq,خبر النمارق
"Al-Sari b. Yahya—Shu'ayb—Sayf—Sahl and Mubashshir, according to their isnad, and Mujalid—al-Sha‘bi:","كَتَبَ إِلَيَّ السري بن يحيى، عن شعيب، عن سيف، عن سهل ومبشر بإسنادهما، ومجالد عن الشعبي، قالوا:"
"Abu ‘Ubayd went forth, having with him Sa‘d b. ‘Ubayd, Sallt b. Qays, one of the Banu ‘Adi b. al-Naj jar, and al-Muthanna b. Harithah, one of the Banu Shayban, then one of the Banu Hind.","فخرج أبو عبيد ومعه سعد بْن عبيد، وسليط بْن قيس، أخو بني عدي بْن النجار، والمثنى بْن حارثة أخو بني شيبان، ثم أحد بني هند"
Al-Sari — Shu‘ayb — Sayf — Mujalid and ‘Amr — Al-Sha‘bi and Abu Rawq:,"كَتَبَ إِلَيَّ السري، عن شعيب، عن سيف، عن مجالد، وَعَمْرٍو عَنِ الشَّعْبِيِّ، وَأَبِي رَوْقٍ، قَالُوا:"
"As often as the people would quarrel among themselves at al-Mada’in, Buran bt. Kisra would act as an honest arbiter among them until they composed their differences.","كَانَتْ بوران بِنْتُ كِسْرَى كُلَّمَا اخْتَلَفَ النَّاسُ بِالْمَدَائِنِ عَدْلا بَيْنَ النَّاسِ حَتَّى يَصْطَلِحُوا،"
"When al-Farrukhzadh b. al-Bindawan was slain and Rustam came forward to kill Azarmidukht, she acted as an arbiter until she brought forth Yazdigird.","فَلَمَّا قُتِلَ الْفرخزاذُ بنالبندوانِ وَقَدِمَ رُسْتُمُ فَقَتَلَ آزرميدختَ، كَانَتْ عَدْلا إِلَى أَنِ اسْتَخْرَجُوا يزدجردَ، "
Abu ‘Ubayd arrived when Buran was the arbiter and Rustam was in charge of warfare.,"فَقَدِمَ أَبُو عُبَيْدٍ وَالعَدْلُ بورانُ، وَصَاحِبُ الْحَرْبِ رُسْتُمُ، "
Buran had presented the Prophet with a gift that he accepted.,"وَقَدْ كَانَتْ بوران اهدت للنبي ص، فقبل هديتها، "
"She was an opponent of Shira for a year, then she followed him, and they came together on the condition that he would be the chief but would make her arbiter.","وكانت ضدا على شيرى سَنَةً، ثُمَّ إِنَّهَا تَابَعَتْهُ، وَاجْتَمَعَا عَلَى أَنْ رَأَسَ وَجَعَلَهَا عَدْلا."
"Al-Sari b. Yahya—Shu‘ayb—Sayf—Muhammad, Jalhah, and Ziyad, according to their isnad:","كَتَبَ إِلَيَّ السَّرِيُّ بْنُ يحيى عن شعيب، عن سيف، عن محمد وَطَلْحَةَ وَزِيَادٍ بِإِسْنَادِهِمْ، قَالُوا:"
"When Siyawukhsh killed Farrukhzadh b. al-Bindawan and Azarmidukht became queen, the Persians disputed among themselves and were diverted from the Muslims, during the whole absence of al-Muthanna, until he came hack from Medina.","لَمَّا قَتَلَ سياوخشُ فرخزاذَ بْنَ البندوانِ، وَمَلَكَتْ آزرميدختُ، اخْتَلَفَ أَهْلُ فَارِسَ، وَتَشَاغَلُوا عَنِ الْمُسْلِمِينَ غَيْبَةَ الْمُثَنَّى كُلَّهَا إِلَى أَنْ رَجَعَ مِنَ الْمَدِينَةِ "
Buran sent the news to Rustam and urged him to set out.,"فَبَعَثَتْ بورانُ إِلَى رُسْتُمَ بِالْخَبَرِ، وَاسْتَحَثَّتْهُ بِالسَّيْرِ، "
He was in charge of the Khurasan frontier and advanced until he stopped at al-Mada’in.,"وَكَانَ عَلَى فَرْجِ خُرَاسَانَ، فَأَقْبَلَ فِي النَّاسِ حَتَّى نَزَلَ الْمَدَائِنَ،"
He defeated every army of Azarmidukht that he met.,"لا يَلْقَى جَيْشًا لآزرميدختَ إِلا هَزَمَهُ،"
"Then they fought at al-Mada’in, where Siyawukhsh was defeated and besieged, and Azarmidukht was besieged as well.","فَاقْتَتَلُوا بِالْمَدَائِنِ، فَهَزَمَ سياوخشَ وَحُصِرَ وَحُصِرَتْ آزرميدختُ،"
"Then Rustam captured it, killing Siyawukhsh, putting out the eye of Azarmidukht, and establishing Buran.","ثُمَّ افْتَتَحَهَا فَقَتَلَ سياوخشَ، وَفَقَأَ عَيْنَ آزرميدختَ، وَنَصَّبَ بورانَ"
"She invited him to manage the affairs of the Persians, whose weakness and decline she complained about to him, on condition that she would entrust him with the rule for ten years, then sovereignty would belong to the family of Kisra, if they found any of their male offspring, and if not, then to their women.","وَدَعَتْهُ إِلَى الْقِيَامِ بِأَمْرِ أَهْلِ فَارِسَ، وَشَكَتْ إِلَيْهِ تَضَعْضُعَهُمْ وَإِدْبَارَ أَمْرِهِمْ، عَلَى أَنْ تُمَلِّكَهُ عَشْرَ حِجَجٍ، ثُمَّ يَكُونُ الْمُلْكُ فِي آلِ كِسْرَى، إِنْ وَجَدُوا مِنْ غِلْمَانِهِمْ أَحَدًا، وَإِلا فَفِي نِسَائِهِمْ."
"Rustam said, ""As for me, I hear and obey, seeking neither recompense nor reward.","فَقَالَ رُسْتُمُ: أَمَّا أَنَا فَسَامِعٌ مُطِيعٌ، غَيْرُ طَالِبٍ عِوَضًا وَلا ثَوَابًا،"
"If you honor me by doing something for me, you are the masters of what you do.","وَإِنْ شَرَّفْتُمُونِي وَصَنَعْتُمْ إِلَيَّ شَيْئًا فَأَنْتُمْ أَوْلِيَاءُ مَا صَنَعْتُمْ،"
"I am not but your arrow and the willing [instrument] of your hands.""",إِنَّمَا أَنَا سَهْمُكُمْ وَطَوْعُ أَيْدِيكُمْ
"Buran replied, ""Come to me in the morning.""","فَقَالَتْ بُورانُ: اغْدُ عَلَيَّ،"
"When he came to her in the morning, she summoned the governors (marazibah) of Persia and wrote for him, ""You are in charge of the armed forces of Persia.","فَغَدَا عَلَيْهَا وَدَعَتْ مَرَازِبَةَ فَارِسَ، وَكَتَبَتْ لَهُ بِأَنَّكَ عَلَى حَرْبِ فَارِسَ، "
"There is no one above you save God, be He Mighty and Majestic, according to our pleasure and in submission to your judgment.","لَيْسَ عَلَيْكَ إِلا اللَّهُ عَزَّ وَجَلَّ، عَنْ رِضًا مِنَّا وَتَسْلِيمٍ لِحُكْمِكَ،"
"Your judgment is applicable to them as long as it leads to the protection of their land and their being united rather than divided.""",وَحُكْمُكَ جَائِزٌ فِيهِمْ مَا كَانَ حُكْمُكَ فِي مَنْعِ أَرْضِهِمْ وَجَمْعِهِمْ عَنْ فُرْقَتِهِمْ 
"At this, she crowned him and commanded the Persians to hear and obey him.",وَتَوَّجَتْهُ وَأَمَرَتْ أَهْلَ فَارِسَ أَنْ يَسْمَعُوا لَهُ وَيُطِيعُوا 
Persia submitted to him after the coming of Abu ‘Ubayd.,"فَدَانَتْ لَهُ فَارِسُ بَعْدَ قُدُومِ أَبِي عُبَيْدٍ،"
"The first thing that Umar did the night of the death of Abu Bakr was to announce [extraordinary] congregational worship, then summon the men [for service], but they dispersed without anyone re-sponding.","وَكَانَ أَوَّلَ شَيْءٍ أَحْدَثَهُ عُمَرُ بَعْدَ مَوْتِ أَبِي بَكْرٍ مِنَ اللَّيْلِ، أَنْ نَادَى: الصَّلاةُ جَامِعَةٌ! ثُمَّ نَدَبَهُمْ فَتَفَرَّقُوا عَلَى غَيْرِ إِجَابَةٍ مِنْ أَحَدٍ،"
"Then he summoned them on the fourth day, and Abu ‘Ubayd was the first of the men to respond favorably on the fourth day.","ثُمَّ نَدَبَهُمْ فِي الْيَوْمِ الرَّابِعِ، فَأَجَابَ أَبُو عُبَيْدٍ فِي الْيَوْمِ الرَّابِعِ أَوَّلَ النَّاسِ،"
"After that, the men followed in succession.","وَتَتَابَعَ النَّاسُ،"
‘Umar selected athousand men from the inhabitants of Medina and its environs and made Abu 'Ubayd their commander.,"وَانْتَخَبَ عُمَرُ مِنْ أَهْلِ الْمَدِينَةِ وَمِنْ حَوْلِهَا أَلْفَ رَجُلٍ، أَمَّرَ عَلَيْهِمْ أَبَا عُبَيْدٍ، "
"It was suggested to ‘Umar that he put one of the Companions of the Prophet in charge of them, but he said, ""No, by God, O Companions of the Prophet, I will not summon you jfor service), so that you may rely on others who heed the call to do it, while I put you in command of them.","فَقِيلَ لَهُ: اسْتَعْمِلْ عَلَيْهِمْ مِنْ أَصْحَابِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ، فَقَالَ: لا هَا اللَّهُ ذَا يَا أَصْحَابَ النَّبِيِّ، لا أَنْدُبُكُمْ فَتَنْكِلُونَ، وَيَنْتَدِبُ غَيْرُكُمْ فَأُؤَمِّرُكُمْ عَلَيْهِمْ! "
